,year,month,rank,category,title,author,price,star_score,page_count,item_id
78,2020,2,29,국내도서,ETS 토익 정기시험 기출문제집 1000 Vol. 2 Listening (리스닝),ETS,16020,8.6,0,220056418
79,2020,2,30,국내도서,코스모스,칼 세이건,19800,9.4,0,870950
80,2020,2,31,국내도서,에이트,이지성,17100,6.4,0,212657645
81,2020,2,32,국내도서,2020 이동기 영어 기적의 특강,이동기,12600,10.0,0,231371310
82,2020,2,33,국내도서,나쁜 사람에게 지지 않으려고 쓴다,정희진,12600,8.3,0,232069951
83,2020,2,34,국내도서,내가 원하는 것을 나도 모를 때,전승환,14400,9.0,0,225080432
84,2020,2,35,국내도서,해빗,웬디 우드,16200,9.2,0,222104487
85,2020,2,36,국내도서,작은 아씨들 무비 아트북,지나 매킨타이어,27000,9.4,0,229009897
86,2020,2,37,국내도서,원펀맨 One Punch Man 21,ONE,4500,9.1,0,233438672
87,2020,2,38,국내도서,새벽의 연화 30 (엽서 32장 + 미니 앨범 + 박스 포함 한정판),미즈호 쿠사나기,13500,9.8,0,231852930
88,2020,2,39,국내도서,먼 바다,공지영,15300,8.6,0,233073737
89,2020,2,40,국내도서,지박소년 하나코 군 3,아이다이로,4950,8.2,0,229681374
90,2020,2,41,국내도서,선량한 차별주의자 (리커버),김지혜,13500,7.7,0,220652685
91,2020,2,42,국내도서,2020 시나공 정보처리기사 필기,길벗 R&D,27900,6.4,0,216473340
92,2020,2,43,국내도서,스토브리그 대본집 1,이신화,14400,10.0,0,232021241
93,2020,2,44,국내도서,지박소년 하나코 군 4,아이다이로,4950,8.7,0,229682445
94,2020,2,45,국내도서,1cm 다이빙,태수,12150,8.3,0,228695400
95,2020,2,46,국내도서,디레버리징,박홍기,18000,9.2,0,232917973
96,2020,2,47,국내도서,흔한남매 안 흔한 일기 1,흔한남매,12600,10.0,0,233312327
97,2020,2,48,국내도서,스토브리그 대본집 2,이신화,14400,10.0,0,232021366
98,2020,2,49,국내도서,나는 무조건 합격하는 공부만 한다,이윤규,13500,8.3,0,220642182
99,2020,2,50,국내도서,지적 대화를 위한 넓고 얕은 지식 1,채사장,17100,9.5,0,228727924
100,2020,3,1,국내도서,날씨가 좋으면 찾아가겠어요 (드라마 방영 기념 한정판),이도우,12420,9.4,0,229321278
101,2020,3,2,국내도서,설민석의 한국사 대모험 13,설민석,10800,9.8,0,235357026
102,2020,3,3,국내도서,녹나무의 파수꾼 (양장),히가시노 게이고,16020,9.0,0,234568616
103,2020,3,4,국내도서,흔한남매 4,흔한남매,10800,9.8,0,235689687
104,2020,3,5,국내도서,페스트,알베르 카뮈,12600,8.5,0,11267326
